table,cell,old_value,new_value,abs_delta,signed_delta,changed,reason
Table 10,delong[4]/auc_diff,0.1057,0.1399,0.0342,0.0342,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[4]/auc_full,0.9689,0.9631,0.0058,-0.0058,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[4]/auc_sub,0.8632,0.8232,0.04,-0.04,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[4]/ci95[0],0.0689,0.0929,0.024,0.024,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[4]/ci95[1],0.1451,0.1886,0.0435,0.0435,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[4]/p_holm,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[4]/p_value,0.0,0.0,0.0,-0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[4]/z,5.276,5.784,0.508,0.508,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/auc_diff,0.0415,0.0139,0.0276,-0.0276,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/auc_full,0.9689,0.9631,0.0058,-0.0058,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/auc_sub,0.9275,0.9493,0.0218,0.0218,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/ci95[0],0.018,-0.0017,0.0197,-0.0197,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/ci95[1],0.0684,0.0308,0.0376,-0.0376,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/p_holm,0.0079,0.3773,0.3694,0.3694,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/p_value,0.0011,0.0943,0.0932,0.0932,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[5]/z,3.257,1.673,1.584,-1.584,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/auc_diff,0.1524,0.2093,0.0569,0.0569,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/auc_full,0.8039,0.7867,0.0172,-0.0172,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/auc_sub,0.6514,0.5774,0.074,-0.074,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/ci95[0],0.0882,0.1318,0.0436,0.0436,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/ci95[1],0.2196,0.2896,0.07,0.07,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/p_holm,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/p_value,0.0,0.0,0.0,-0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[6]/z,4.568,5.292,0.724,0.724,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/auc_diff,0.0593,0.0287,0.0306,-0.0306,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/auc_full,0.8039,0.7867,0.0172,-0.0172,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/auc_sub,0.7446,0.758,0.0134,0.0134,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/ci95[0],0.0157,-0.0271,0.0428,-0.0428,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/ci95[1],0.1037,0.0816,0.0221,-0.0221,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/p_holm,0.0259,0.523,0.4971,0.4971,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/p_value,0.0086,0.2874,0.2788,0.2788,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[7]/z,2.626,1.064,1.562,-1.562,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/auc_diff,0.0314,0.0309,0.0005,-0.0005,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/auc_full,0.9751,0.9707,0.0044,-0.0044,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/auc_sub,0.9437,0.9398,0.0039,-0.0039,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/ci95[0],0.0107,0.0107,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/ci95[1],0.0539,0.0533,0.0006,-0.0006,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/p_holm,0.014,0.0212,0.0072,0.0072,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/p_value,0.0035,0.003,0.0005,-0.0005,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[8]/z,2.921,2.964,0.043,0.043,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/auc_diff,0.0698,0.043,0.0268,-0.0268,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/auc_full,0.8279,0.8116,0.0163,-0.0163,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/auc_sub,0.7581,0.7686,0.0105,0.0105,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/ci95[0],0.0051,-0.0211,0.0262,-0.0262,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/ci95[1],0.133,0.1038,0.0292,-0.0292,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/p_holm,0.0626,0.523,0.4604,0.4604,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/p_value,0.0313,0.1758,0.1445,0.1445,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,delong[9]/z,2.154,1.354,0.8,-0.8,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,mcnemar[0]/b_only_base_correct,54.0,54.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,mcnemar[0]/c_only_cal_correct,12.0,12.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,mcnemar[0]/p_value,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,mcnemar[0]/statistic,25.4697,25.4697,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,wilcoxon[0]/mean_full,0.7728,0.7728,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,wilcoxon[0]/mean_top3,0.6443,0.6921,0.0478,0.0478,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,wilcoxon[0]/p_value,0.002,0.002,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 10,wilcoxon[0]/statistic,0.0,0.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,dedup_auc/deepfakes,0.9766,0.9711,0.0055,-0.0055,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,dedup_auc/face2face,0.8257,0.8137,0.012,-0.012,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,dedup_auc/faceswap,0.9657,0.962,0.0037,-0.0037,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,dedup_auc/neuraltextures,0.7955,0.7966,0.0011,0.0011,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,full_auc/deepfakes,0.9752,0.9706,0.0046,-0.0046,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,full_auc/face2face,0.8255,0.8096,0.0159,-0.0159,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,full_auc/faceswap,0.9689,0.9631,0.0058,-0.0058,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,full_auc/neuraltextures,0.8039,0.7867,0.0172,-0.0172,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,n_features_dropped,2.0,2.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,n_highly_correlated_pairs,2.0,2.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,n_kept,48.0,48.0,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,pairs[0]/pearson,0.9577,0.9577,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,pairs[0]/spearman,0.9999,0.9999,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,pairs[1]/pearson,0.9067,0.9067,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,pairs[1]/spearman,0.9192,0.9192,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Redundancy analysis,vif_max,30.1,30.1,0.0,0.0,no,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 18,model_size_kb / top-3,501.9,504.5,2.6,2.6,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 18,model_size_kb / top-10,585.0,538.7,46.3,-46.3,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 18,model_size_kb / top-20,590.1,542.7,47.4,-47.4,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 18,model_size_kb / all-50,611.2,600.7,10.5,-10.5,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 18,inference_ms_per_video / all-50,0.199,0.151,0.048,-0.048,yes,"classifier fit partition changed from train+val (860 identities, n_train 4126) to train only (720 identities, n_train 3461); DEFECT-001 Option B canonical rerun"
Table 18,extraction_s_per_video,48.586,48.586,0.0,0.0,no,extraction timing is independent of the classifier fit partition; not re-measured
Table 18,rtf,3.196,3.196,0.0,0.0,no,extraction timing is independent of the classifier fit partition; not re-measured
Table 18,peak_ram_mb,3462.3,3462.3,0.0,0.0,no,extraction timing is independent of the classifier fit partition; not re-measured
